,absstatus,brakestatus,closestintersectid,device,elevation,filedate,filetimeutc,fixtypehvgps,gpsorientsemimaj,gpssemimajaxis,gpssemiminaxis,gpsspeed,heading,headlamp,key,latitude,localtimems,longaccel,longitude,speed,stabilitycontrolstatus,steerangle,throttlepospct,traccontrolstatus,transstate,turnsignal,uuid,wiper,yawrate
10,0,1,0,100625,182.55,20200601,10440,1,31.0,1.5,1.2,0.025694445,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg1NzQyfQ==,39.60894085663562,3885742,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,7b1cb60a2bd17c073d1ccd1fff8758e5,0,0.24412537
11,0,1,0,100625,182.55,20200601,10440,1,30.0,1.4,1.2,0.0025694445,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg2MjQyfQ==,39.60894085663562,3886242,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,22c7925a020f595a989f489534ea4a1d,0,0.24412537
12,0,1,0,100625,182.55,20200601,10440,1,30.0,1.4,1.2,0.009763889,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg2NzQyfQ==,39.60894085663562,3886742,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,10731a4b605cd7901c8fc9d604fa0f03,0,0.24412537
13,0,1,0,100625,182.55,20200601,10440,1,29.0,1.4,1.2,0.016958334,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg3MjQyfQ==,39.60894085663562,3887242,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,572e1db2b0df4f7d7b267ab89ad47c8b,0,0.24412537
14,0,1,0,100625,182.55,20200601,10440,1,28.0,1.4,1.1,0.010791667,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg3NzQyfQ==,39.60894085663562,3887742,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,f27fb6e8c015d5be2a78e496c203426f,0,0.24412537
15,0,1,0,100625,182.55,20200601,10440,1,27.0,1.4,1.1,0.010277778,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg4MjQyfQ==,39.60894085663562,3888242,0.191185,-82.93425405266359,0.0,0,-116.1,0,0,3,0,452be46336eea805277ef8e3c181e65c,0,0.24412537
16,0,1,0,100625,182.55,20200601,10440,1,26.0,1.4,1.1,0.024666667,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg4NzQyfQ==,39.60894085663562,3888742,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,293f9651f8af5d49ad4bc8f455993830,0,0.24412537
17,0,1,0,100625,182.55,20200601,10440,1,25.0,1.4,1.1,0.017472222,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg5MjQyfQ==,39.60894085663562,3889242,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,66dd195aeacbbc56d5bc2e0fc70454ac,0,0.24412537
18,0,1,0,100625,182.55,20200601,10440,1,25.0,1.4,1.1,0.010277778,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODg5NzQyfQ==,39.60894085663562,3889742,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,b0d322f31754adfdc3ab0816d36b189d,0,0.24412537
19,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.1,0.008222222,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkwMjQyfQ==,39.60894085663562,3890242,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,afe1259dab0596362c16c969579ec7e3,0,0.24412537
20,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.1,0.03340278,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkwNzQyfQ==,39.60894085663562,3890742,0.191185,-82.93425405266359,0.0,0,-116.1,0,0,3,0,72e49cd11895444e1ef0677c79b79780,0,0.24412537
21,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.0,0.019527778,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkxMjQyfQ==,39.60894085663562,3891242,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,ae9ed41614d4572dc9039bc904a26534,0,0.24412537
22,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.0,0.0077083334,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkxNzQyfQ==,39.60894085663562,3891742,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,995b4375861d0871890fd7020abd4da6,0,0.24412537
23,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.0,0.029805556,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkyMjQzfQ==,39.60894085663562,3892243,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,0cf508d8acb84b0272eb96c8ebe2dab1,0,0.24412537
24,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.0,0.020041667,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkyNzQzfQ==,39.60894085663562,3892743,0.14333344,-82.93425405266359,0.0,0,-116.1,0,0,3,0,69733e9abe542a90bf280d113c1ac489,0,0.24412537
25,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.0,0.00925,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkzMjQzfQ==,39.60894085663562,3893243,0.191185,-82.93425405266359,0.0,0,-116.1,0,0,3,0,5edcf3c202025193c50067acf2c93fbc,0,0.24412537
26,0,1,0,100625,182.55,20200601,10440,1,24.0,1.3,1.0,0.03288889,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODkzNzQzfQ==,39.60894085663562,3893743,0.095479965,-82.93425405266359,0.0,0,-116.0,0,0,3,0,9b13000825f64da328c5a951f29052fc,0,0.24412537
27,0,0,0,100625,182.05,20200601,10440,1,24.0,1.3,1.0,0.063208334,0.0,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk0MjQzfQ==,39.60892852330231,3894243,-0.3351879,-82.93425538599422,0.14166667,0,-115.8,0,0,3,0,d8021de9d3b318de48ad3f26f437f10b,0,0.488266
28,0,1,0,100625,182.05,20200601,10440,1,24.0,1.3,0.98,0.3463611,113.12,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk0NzQzfQ==,39.60892818996896,3894743,-0.14377975,-82.93425455266082,0.39722222,0,-115.8,0,0,3,0,546b651945718bb6f0fd19c476a1f787,0,1.4648285
29,0,1,0,100625,182.05,20200601,10440,1,25.0,1.3,0.97,0.46558332,100.93,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk1MjQzfQ==,39.608927523302306,3895243,-0.00022315979,-82.934252385994,0.47777775,0,-115.8,0,0,3,0,d40de5e45ba817e14d482482618d63d3,0,1.7089691
30,0,1,0,100625,181.95,20200601,10440,1,25.0,1.3,0.96,0.58531946,115.84,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk1NzQzfQ==,39.60892685663564,3895743,-0.3351879,-82.93425005266054,0.6666666,0,-111.5,0,0,3,0,48141fd062ec5a82d07981b78275d81f,0,2.1972504
31,0,1,0,100625,181.95,20200601,10440,1,25.0,1.2,0.94,0.8057778,107.26,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk2MjQzfQ==,39.60892568996898,3896243,0.14333344,-82.93424621932694,0.80277777,0,-89.0,0,0,3,0,713fbb2b9cb257d672b7631c4f6cce63,0,2.1972504
32,0,1,0,100625,181.95,20200601,10440,1,25.0,1.2,0.93,0.7574722,107.29,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk2NzQzfQ==,39.608924523302306,3896743,0.191185,-82.93424188599334,0.80277777,0,-55.600002,0,0,3,0,6e9a71d7400d0635a2e3a21c4ec30e9b,0,1.7089691
33,0,1,0,100625,182.05,20200601,10440,1,25.0,1.2,0.91,0.75181943,107.79,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk3MjQzfQ==,39.60892352330231,3897243,0.095479965,-82.9342375526598,0.79999995,0,-40.9,0,0,3,0,260cff0282786fe1360590e16e4a3404,0,0.97654724
34,0,1,0,100625,182.05,20200601,10440,1,26.0,1.2,0.9,0.874125,114.36,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk3NzQzfQ==,39.60892235663566,3897743,0.047628403,-82.9342332193262,0.86944443,0,-50.3,0,0,3,0,d0d9ea711f683e55ea01f1c6bb3e69e8,0,1.2206879
35,0,1,0,100625,182.05,20200601,10440,1,26.0,1.2,0.89,0.777,108.08,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk4MjQzfQ==,39.60892118996898,3898243,0.43044472,-82.93422871932597,0.79999995,0,15.7,0,0,3,0,8582281daec08aebc0112a484c9819e2,0,0.7324066
36,0,1,0,100625,182.05,20200601,10440,1,26.0,1.2,0.88,0.8325,108.37,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk4NzQzfQ==,39.60892018996899,3898743,-0.00022315979,-82.93422405265906,0.8805555,0,40.5,0,0,3,0,ab7268146f6361a7beb6db3c98d4822b,0,-0.4882965
37,0,1,0,100625,181.95,20200601,10440,1,26.0,1.2,0.87,1.0647777,106.39,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk5MjQzfQ==,39.60891902330232,3899243,-0.048074722,-82.93421905265882,1.0444444,0,35.2,0,0,3,0,ef6ec039af4bd3049dbabf73ecd32ad4,0,-0.4882965
38,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.87,1.1033194,110.8,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozODk5NzQzfQ==,39.608917356635644,3899743,0.5740013,-82.93421305265846,1.0166667,0,32.5,0,0,3,0,412abdf0426a023f1f76c0d3a5f37584,0,-0.4882965
39,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.86,1.160875,104.37,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAwMjQzfQ==,39.60891602330232,3900243,-0.095926285,-82.93420721932483,1.1805556,0,27.5,0,0,3,0,5dda443646c892426a46ffacdc57f536,0,-0.73243713
40,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.85,1.2867777,111.22,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAwNzQzfQ==,39.608914189969,3900743,0.14333344,-82.9342008859911,1.2805556,0,3.5,0,0,3,0,e25232d4cd083964113f8888f2ebb87a,0,-1.5258789e-05
41,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.85,1.2235694,109.95,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAxMjQzfQ==,39.60891252330233,3901243,0.43044472,-82.93419371932406,1.2916667,0,-4.1,0,0,3,0,55c8fd210520d8e917f3c1f14e772563,0,0.488266
42,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.84,1.1624167,116.22,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAxNzQzfQ==,39.60891085663567,3901743,0.5740013,-82.93418738599034,1.1638889,0,-2.9,0,0,3,0,644c1ce719ff9cf233fa49d61147c8db,0,0.24412537
43,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.84,1.0457639,109.85,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAyMjQzfQ==,39.60890952330233,3902243,0.3347416,-82.93418121932339,1.0611111,0,-3.7,0,0,3,0,3caa8ed690f4bdf1b1ee8b9a4abab512,0,0.24412537
44,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.83,1.0879028,102.8,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAyNzQzfQ==,39.60890818996901,3902743,0.047628403,-82.93417555265643,1.1055555,0,-43.9,0,0,3,0,f8102a342478a7b96de09cf96bb77d9d,0,0.97654724
45,0,1,0,100625,181.95,20200601,10440,1,26.0,1.1,0.83,1.0750556,105.14,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAzMjQzfQ==,39.608906689969,3903243,0.6218529,-82.9341697193228,1.0333333,0,-76.8,0,0,3,0,00aed6d09798d04e52db3af53138a0e2,0,1.9531097
46,0,1,0,100625,181.85,20200601,10440,1,26.0,1.1,0.82,0.9476111,106.72,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTAzNzQzfQ==,39.60890535663566,3903743,0.47829628,-82.9341642193225,0.9499999,0,-76.9,0,0,3,0,9f35c8132133e89e042a28e98ceb264d,0,2.1972504
47,0,1,0,100625,181.85,20200601,10440,1,26.0,1.1,0.81,0.89416665,114.97,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA0MjQ0fQ==,39.60890352330233,3904244,0.047628403,-82.93415938598875,0.9333333,0,-80.4,0,0,3,0,66526fa4893c0f59582a19b76398d8e1,0,1.9531097
48,0,1,0,100625,181.85,20200601,10440,1,26.0,1.1,0.8,0.888,113.94,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA0NzQ0fQ==,39.60890185663567,3904744,0.23903656,-82.93415405265506,1.011111,0,-151.7,0,0,3,0,6b02f0ffa2752f819929b9c67ee5a7ca,0,3.1738129
49,0,1,0,100625,181.85,20200601,10440,1,26.0,1.1,0.78,0.97125,117.76,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA1MjQ0fQ==,39.608900189969,3905244,0.3347416,-82.93414888598801,0.99444443,0,-206.8,0,0,3,0,3f04aa8d0ee854ca23f6057bf2206a93,0,5.126938
50,0,1,0,100625,181.85,20200601,10440,1,26.0,1.1,0.77,0.7394861,120.48,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA1NzQ0fQ==,39.60889868996901,3905744,0.28688812,-82.93414421932103,0.8527778,0,-256.9,0,0,3,0,5bce54994ae12e46c13544fbd86e2632,0,5.3710785
51,0,1,0,100625,181.85,20200601,10440,1,26.0,1.1,0.77,0.7179028,114.9,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA2MjQ0fQ==,39.60889735663567,3906244,-0.00022315979,-82.93414021932075,0.9333333,0,-320.7,0,0,3,0,97a4429eb668d224530ab879b729da4b,0,7.080063
52,0,1,0,100625,181.85,20200601,10440,1,26.0,1.1,0.76,0.8037222,118.39,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA2NzQ0fQ==,39.60889585663568,3906744,0.43044472,-82.93413588598706,0.90555555,0,-368.6,0,0,3,0,5730e4f3d15e048e9f90633dc5ef04fd,0,8.544907
53,0,1,0,100625,181.75,20200601,10440,1,26.0,1.1,0.76,0.6793611,121.78,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA3MjQ0fQ==,39.60889435663568,3907244,-0.00022315979,-82.93413221932008,0.9027778,0,-410.0,0,0,3,0,e6ef6ef7418800d66459613e32db0438,0,9.521469
54,0,1,0,100625,181.75,20200601,10440,1,26.0,1.1,0.76,0.73640275,129.84,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA3NzQ0fQ==,39.60889285663568,3907744,-0.048074722,-82.93412888598642,0.9722222,0,-410.7,0,0,3,0,b7479c69fad0e1a3f36ad886c37714e9,0,10.742172
55,0,1,0,100625,181.75,20200601,10440,1,26.0,1.0,0.75,0.78727776,130.15,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA4MjQ0fQ==,39.608890856635675,3908244,-0.19163132,-82.934125385986,1.1138889,0,-410.9,0,0,3,0,73e7c68bbdb74a3352fca4bf2f155e58,0,12.695297
56,0,1,0,100625,181.75,20200601,10440,1,26.0,1.0,0.75,0.9537778,135.56,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA4NzQ0fQ==,39.60888785663569,3908744,0.47829628,-82.93412155265197,1.1194444,0,-407.80002,0,0,3,0,21e43dbfb90bd3e8fd94099aa404c2fb,0,12.695297
57,0,1,0,100625,181.75,20200601,10440,1,26.0,1.0,0.75,0.7636389,144.04,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA5MjQ0fQ==,39.608885189969016,3909244,1.1003723,-82.93411838598473,0.8194445,0,-383.5,0,0,3,0,14311f1ce8adc080be0f8f363068dc85,0,8.544907
58,0,1,0,100625,181.75,20200601,10440,1,26.0,1.0,0.75,0.3201528,154.69,0,eyJkZXZpY2UiOjEwMDYyNSwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTA0NDAsImxvY2FsdGltZW1zIjozOTA5NzQ0fQ==,39.60888352330235,3909744,1.1482239,-82.93411688598435,0.29166666,0,-303.9,0,0,3,0,b4fe375ce27cd090ed17a0fb0c121f42,0,2.6855316
